id,name,group,groups,avatar,maxW,weekKms,todayDone,competitions,password
ath_nuria,Nuria,por-asignar,"[""por-asignar""]",NU,{},[],0,[],1234
ath_ona,Ona,por-asignar,"[""por-asignar""]",ON,{},[],0,[],1234
ath_marina,Marina,por-asignar,"[""por-asignar""]",MA,{},[],0,[],1234
ath_eric,Eric,por-asignar,"[""por-asignar""]",ER,{},[],0,[],1234
ath_pelayo,Pelayo,por-asignar,"[""por-asignar""]",PE,{},[],0,[],1234
ath_marcal,Marçal,por-asignar,"[""por-asignar""]",MA,{},[],0,[],1234
ath_teo,Teo,por-asignar,"[""por-asignar""]",TE,{},[],0,[],1234
ath_pablo_col,Pablo Col,por-asignar,"[""por-asignar""]",PC,{},[],0,[],1234
ath_marti,Martí,por-asignar,"[""por-asignar""]",MA,{},[],0,[],1234
ath_pol_ferran,Pol Ferran,por-asignar,"[""por-asignar""]",PF,{},[],0,[],1234
ath_pol_serra,Pol Serra,por-asignar,"[""por-asignar""]",PS,{},[],0,[],1234
ath_aram,Aram,por-asignar,"[""por-asignar""]",AR,{},[],0,[],1234
ath_gerard,Gerard,por-asignar,"[""por-asignar""]",GE,{},[],0,[],1234
ath_pablo,Pablo,por-asignar,"[""por-asignar""]",PA,{},[],0,[],1234
ath_jan,Jan,por-asignar,"[""por-asignar""]",JA,{},[],0,[],1234
ath_leo,Leo,por-asignar,"[""por-asignar""]",LE,{},[],0,[],1234
ath_ot,Ot,por-asignar,"[""por-asignar""]",OT,{},[],0,[],1234
ath_enric,Enric,por-asignar,"[""por-asignar""]",EN,{},[],0,[],1234
ath_roma,Roma,por-asignar,"[""por-asignar""]",RO,{},[],0,[],1234
ath_pau,Pau,por-asignar,"[""por-asignar""]",PA,{},[],0,[],1234
ath_mar,Mar,por-asignar,"[""por-asignar""]",MA,{},[],0,[],1234
ath_janna,Janna,por-asignar,"[""por-asignar""]",JA,{},[],0,[],1234
